account,bucket,tem_lifecycle,total_regras,coletado_em
default,bucket-aqui-tbm-pra-testar-multi-account,False,0,2026-05-05 00:42:57
default,cf-templates-1uvt9vehg04uk-us-east-1,True,1,2026-05-05 00:42:58
default,cf-templates-ww1k8a02hfen-us-east-1,False,0,2026-05-05 00:42:58
default,meu-bucket-finops-rendell,False,0,2026-05-05 00:42:59
default,rendell-athena-data-lab,False,0,2026-05-05 00:42:59
default,rendell-athena-results-lab,False,0,2026-05-05 00:42:59
default,teste-s3-analysis-sp-script-lifecycle,False,0,2026-05-05 00:43:00
sandbox,arvore-desaparecida-bucket,False,0,2026-05-05 00:43:01
sandbox,e-toma-mais-um-bucket-desgraca,False,0,2026-05-05 00:43:02
sandbox,mais-uma-para-testar-a-automacao-rendell,False,0,2026-05-05 00:43:02
sandbox,o-estado-esta-falido,True,1,2026-05-05 00:43:03
sandbox,queima-quengaral-bucket,False,0,2026-05-05 00:43:04
